0,1,2,3,4
15.0,0.0,25.0,4.0,30.0
3.0,4.0,25.0,4.0,30.0
0.0,0.0,16.0,4.0,30.0
15.0,0.0,25.0,4.0,30.0
0.0,0.0,0.0,4.0,30.0
9.0,0.0,25.0,3.0,30.0
0.0,0.0,25.0,1.0,30.0
0.0,2.0,25.0,0.0,30.0
0.0,0.0,25.0,4.0,30.0
2.0,0.0,25.0,4.0,30.0
5.0,3.0,25.0,0.0,30.0
5.0,5.0,23.0,1.0,24.0
10.0,6.0,25.0,3.0,30.0
0.0,0.0,25.0,4.0,30.0
15.0,0.0,25.0,4.0,30.0
0.0,4.0,25.0,3.0,30.0
0.0,0.0,25.0,0.0,30.0
1.0,0.0,25.0,4.0,30.0
7.0,2.0,25.0,2.0,30.0
15.0,3.0,25.0,2.0,30.0
9.0,0.0,25.0,4.0,30.0
5.0,1.0,25.0,4.0,30.0
4.0,3.0,25.0,1.0,30.0
0.0,0.0,25.0,0.0,30.0
0.0,0.0,25.0,0.0,30.0
0.0,0.0,25.0,4.0,30.0
0.0,0.0,25.0,4.0,30.0
5.0,1.0,25.0,4.0,30.0
0.0,4.0,25.0,4.0,18.0
15.0,0.0,25.0,0.0,30.0
